#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
1.7%	850	1.7000000000000013	-1110.6779412269618	329.5667419433594	-781.1111992836024	102.42317363639846	131	1.0554814338684082	1:04
1.8%	900	1.8000000000000014	-1100.3273552894618	287.0967102050781	-813.2306450843837	89.22428284595296	131	1.1211864948272705	1:04
1.9%	950	1.9000000000000015	-1076.9547966957118	317.35198974609375	-759.6028069496181	98.62705732366344	131	1.1868746280670166	1:04
2.0%	1000	2.0000000000000013	-1062.510033512118	322.5629577636719	-739.9470757484462	100.24652862993334	131	1.2524025440216064	1:04
2.1%	1050	2.0999999999999903	-1066.7272576332118	327.84246826171875	-738.8847893714931	101.88730165596148	131	1.318009614944458	1:04
2.2%	1100	2.1999999999999793	-1049.4753045082118	301.89959716796875	-747.5757073402431	93.82474299183959	131	1.3837287425994873	1:04
2.3%	1150	2.2999999999999683	-1052.7694939613368	336.1519775390625	-716.6175164222743	104.46974157853387	131	1.4493584632873535	1:04
2.4%	1200	2.3999999999999573	-1050.1524895668056	322.1260070800781	-728.0264824867274	100.1107325375474	131	1.518857717514038	1:04
2.5%	1250	2.4999999999999463	-1039.380638980868	298.8885803222656	-740.4920586586024	92.88897532489892	131	1.5851414203643799	1:04
2.6%	1300	2.5999999999999353	-1039.019310855868	339.97882080078125	-699.0404900550868	105.65905282263283	131	1.651176929473877	1:04
2.7%	1350	2.6999999999999242	-1032.6001824378993	306.3709411621094	-726.22924127579	95.21435299799319	131	1.716864824295044	1:04
2.8%	1400	2.7999999999999132	-1018.0143059730557	330.3543701171875	-687.6599358558682	102.6679537277791	131	1.7826707363128662	1:04
2.9%	1450	2.899999999999902	-1027.592797183993	317.92926025390625	-709.6635369300868	98.8064621905144	131	1.848742961883545	1:04
3.0%	1500	2.999999999999891	-1012.6925896644619	328.66583251953125	-684.0267571449307	102.14318785323569	131	1.9151928424835205	1:04
3.1%	1550	3.09999999999988	-1016.5275506019619	312.775390625	-703.7521599769619	97.20473599451509	131	1.9813792705535889	1:03
3.2%	1600	3.199999999999869	-1020.5474480628994	340.46588134765625	-680.0815667152432	105.81042212242885	131	2.0471372604370117	1:03
3.3%	1650	3.299999999999858	-1006.5534295082119	318.4453125	-688.1081170082119	98.96684156767921	131	2.112928628921509	1:03
3.4%	1700	3.399999999999847	-1002.8741082191494	313.96942138671875	-688.9046868324307	97.57581840202252	131	2.1789391040802	1:03
3.5%	1750	3.499999999999836	-990.5580681800869	335.3667297363281	-655.1913384437588	104.22570126192666	131	2.245387315750122	1:03
3.6%	1800	3.599999999999825	-989.0501946449307	316.738037109375	-672.3121575355557	98.43625233786796	131	2.3113372325897217	1:03
3.7%	1850	3.699999999999814	-992.3847283363369	317.7952575683594	-674.5894707679776	98.76481666448656	131	2.3769774436950684	1:03
3.8%	1900	3.799999999999803	-984.7050408363369	329.24212646484375	-655.4629143714932	102.32228922274369	131	2.4425528049468994	1:03
3.9%	1950	3.899999999999792	-977.3974236488369	310.7750549316406	-666.6223687171963	96.5830691089431	131	2.5083484649658203	1:03
4.0%	2000	3.999999999999781	-991.2268303871182	347.5152282714844	-643.7116021156338	108.00122717680095	131	2.5738608837127686	1:03
4.1%	2050	4.0999999999997705	-987.7170037269619	308.8556823730469	-678.8613213539151	95.98656404996002	131	2.6393656730651855	1:03
4.2%	2100	4.1999999999997595	-1001.7573479652432	325.0431213378906	-676.7142266273526	101.0173170381051	131	2.7049105167388916	1:03
4.3%	2150	4.2999999999997485	-1014.2313469886807	290.17767333984375	-724.0536736488369	90.18178851008237	131	2.771238088607788	1:03
4.4%	2200	4.3999999999997375	-975.1098259925869	314.98089599609375	-660.1289299964932	97.89016577498234	131	2.837097644805908	1:03
4.5%	2250	4.499999999999726	-982.7793816566494	333.2358703613281	-649.5435112953213	103.56347005961109	131	2.902644395828247	1:02
4.6%	2300	4.599999999999715	-1007.1214226722744	332.4288635253906	-674.6925591468838	103.31266744283131	131	2.968440532684326	1:02
4.7%	2350	4.699999999999704	-997.5475090980557	284.7962951660156	-712.7512139320401	88.50935691746781	131	3.0341053009033203	1:02
4.8%	2400	4.799999999999693	-986.5665520668057	326.42877197265625	-660.1377800941494	101.44795131487437	131	3.0996594429016113	1:02
4.9%	2450	4.899999999999682	-982.9228753089932	343.8408203125	-639.0820549964932	106.85928997107798	131	3.1656932830810547	1:02
5.0%	2500	4.999999999999671	-974.9132317543057	306.65411376953125	-668.2591179847744	95.30235774315653	131	3.231522798538208	1:02
